postcode,suburb
2144,AUBURN
2145,CONSTITUTION HILL
2145,GIRRAWEEN
2145,GREYSTANES
2145,MAYS HILL
2145,PEMULWUY
2145,PENDLE HILL
2145,SOUTH WENTWORTHVILLE
2145,WENTWORTHVILLE
2145,WESTMEAD
2146,OLD TOONGABBIE
2146,TOONGABBIE
2147,KINGS LANGLEY
2147,LALOR PARK
2147,SEVEN HILLS
2148,ARNDELL PARK
2148,BLACKTOWN
2148,HUNTINGWOOD
2148,KINGS PARK
2148,MARAYONG
2148,PROSPECT
2150,HARRIS PARK
2150,PARRAMATTA
2151,NORTH PARRAMATTA
2151,NORTH ROCKS
2152,NORTHMEAD
2153,BAULKHAM HILLS
2153,BELLA VISTA
2153,NORWEST
2153,WINSTON HILLS
2154,CASTLE HILL
2155,BEAUMONT HILLS
2155,KELLYVILLE
2155,KELLYVILLE RIDGE
2155,NORTH KELLYVILLE
2155,ROUSE HILL
2156,ANNANGROVE
2156,GLENHAVEN
2156,KENTHURST
2157,CANOELANDS
2157,FOREST GLEN
2157,GLENORIE
2158,DURAL
2158,MIDDLE DURAL
2159,ARCADIA
2159,BERRILEE
2159,FIDDLETOWN
2159,GALSTON
2160,MERRYLANDS
2160,MERRYLANDS WEST
2161,GUILDFORD
2161,GUILDFORD WEST
2161,OLD GUILDFORD
2161,YENNORA
2162,CHESTER HILL
2162,SEFTON
2163,CARRAMAR
2163,LANSDOWNE
2163,VILLAWOOD
2164,SMITHFIELD
2164,WETHERILL PARK
2164,WOODPARK
2165,FAIRFIELD
2165,FAIRFIELD EAST
2165,FAIRFIELD HEIGHTS
2165,FAIRFIELD WEST
2166,CABRAMATTA
2166,CABRAMATTA WEST
2166,CANLEY HEIGHTS
2166,CANLEY VALE
2166,LANSVALE
2167,GLENFIELD
2168,ASHCROFT
2168,BUSBY
2168,CARTWRIGHT
2168,GREEN VALLEY
2168,HECKENBERG
2168,HINCHINBROOK
2168,MILLER
2168,SADLEIR
2170,CASULA
2170,CHIPPING NORTON
2170,HAMMONDVILLE
2170,LIVERPOOL
2170,LURNEA
2170,MOOREBANK
2170,MOUNT PRITCHARD
2170,PRESTONS
2170,WARWICK FARM
2171,CARNES HILL
2171,CECIL HILLS
2171,ELIZABETH HILLS
2171,HORNINGSEA PARK
2171,HOXTON PARK
2171,LEN WATERS ESTATE
2171,MIDDLETON GRANGE
2171,WEST HOXTON
2172,PLEASURE POINT
2172,SANDY POINT
2172,VOYAGER POINT
2173,HOLSWORTHY
2173,WATTLE GROVE
2174,EDMONDSON PARK
2175,HORSLEY PARK
2176,ABBOTSBURY
2176,BOSSLEY PARK
2176,EDENSOR PARK
2176,GREENFIELD PARK
2176,PRAIRIEWOOD
2176,ST JOHNS PARK
2176,WAKELEY
2177,BONNYRIGG
2177,BONNYRIGG HEIGHTS
2178,CECIL PARK
2178,KEMPS CREEK
2178,MOUNT VERNON
2179,AUSTRAL
2179,LEPPINGTON
2190,CHULLORA
2190,GREENACRE
2190,MOUNT LEWIS
2191,BELFIELD
2192,BELMORE
2193,ASHBURY
2193,CANTERBURY
2193,HURLSTONE PARK
2194,CAMPSIE
2195,LAKEMBA
2195,WILEY PARK
2196,PUNCHBOWL
2196,ROSELANDS
2197,BASS HILL
2198,GEORGES HALL
2199,YAGOONA
2200,BANKSTOWN
2200,BANKSTOWN AERODROME
2200,CONDELL PARK
2203,DULWICH HILL
2204,MARRICKVILLE
2205,ARNCLIFFE
2205,TURRELLA
2205,WOLLI CREEK
2206,CLEMTON PARK
2206,EARLWOOD
2207,BARDWELL PARK
2207,BARDWELL VALLEY
2207,BEXLEY
2207,BEXLEY NORTH
2208,KINGSGROVE
2209,BEVERLY HILLS
2209,NARWEE
2210,LUGARNO
2210,PEAKHURST
2210,PEAKHURST HEIGHTS
2210,RIVERWOOD
2211,PADSTOW
2211,PADSTOW HEIGHTS
2212,REVESBY
2212,REVESBY HEIGHTS
2213,EAST HILLS
2213,PANANIA
2213,PICNIC POINT
2214,MILPERRA
2216,BANKSIA
2216,BRIGHTON-LE-SANDS
2216,KYEEMAGH
2216,ROCKDALE
2217,BEVERLEY PARK
2217,KOGARAH
2217,KOGARAH BAY
2217,MONTEREY
2217,RAMSGATE
2217,RAMSGATE BEACH
2218,ALLAWAH
2218,CARLTON
2219,DOLLS POINT
2219,SANDRINGHAM
2219,SANS SOUCI
2220,HURSTVILLE
2220,HURSTVILLE GROVE
2221,BLAKEHURST
2221,CARSS PARK
2221,CONNELLS POINT
2221,KYLE BAY
2221,SOUTH HURSTVILLE
2222,PENSHURST
2223,MORTDALE
2223,OATLEY
2224,KANGAROO POINT
2224,SYLVANIA
2224,SYLVANIA WATERS
2225,OYSTER BAY
2226,BONNET BAY
2226,COMO
2226,JANNALI
2227,GYMEA
2227,GYMEA BAY
2228,MIRANDA
2228,YOWIE BAY
2229,CARINGBAH
2229,CARINGBAH SOUTH
2229,DOLANS BAY
2229,LILLI PILLI
2229,PORT HACKING
2229,TAREN POINT
2230,BUNDEENA
2230,BURRANEER
2230,CRONULLA
2230,GREENHILLS BEACH
2230,MAIANBAR
2230,WOOLOOWARE
2231,KURNELL
2232,GRAYS POINT
2232,KAREELA
2232,KIRRAWEE
2232,LOFTUS
2232,ROYAL NATIONAL PARK
2232,SUTHERLAND
2232,WORONORA
2233,ENGADINE
2233,HEATHCOTE
2233,WATERFALL
2233,WORONORA HEIGHTS
2233,YARRAWARRAH
2234,ALFORDS POINT
2234,BANGOR
2234,BARDEN RIDGE
2234,ILLAWONG
2234,LUCAS HEIGHTS
2234,MENAI
2250,BUCKETTY
2250,TEN MILE HOLLOW
2330,PUTTY
2508,DARKES FOREST
2508,WORONORA DAM
2555,BADGERYS CREEK
2556,BRINGELLY
2557,CATHERINE FIELD
2557,GLEDSWOOD HILLS
2557,GREGORY HILLS
2557,ROSSMORE
2558,EAGLE VALE
2558,ESCHOL PARK
2558,KEARNS
2559,BLAIRMOUNT
2559,CLAYMORE
2560,AIRDS
2560,AMBARVALE
2560,APPIN
2560,BLAIR ATHOL
2560,BRADBURY
2560,CAMPBELLTOWN
2560,CATARACT
2560,ENGLORIE PARK
2560,GILEAD
2560,GLEN ALPINE
2560,KENTLYN
2560,LEUMEAH
2560,ROSEMEADOW
2560,RUSE
2560,ST HELENS PARK
2560,WEDDERBURN
2560,WOODBINE
2563,MENANGLE PARK
2564,LONG POINT
2564,MACQUARIE FIELDS
2565,BARDIA
2565,DENHAM COURT
2565,INGLEBURN
2565,MACQUARIE LINKS
2566,BOW BOWING
2566,MINTO
2566,MINTO HEIGHTS
2566,RABY
2566,ST ANDREWS
2566,VARROVILLE
2567,CURRANS HILL
2567,HARRINGTON PARK
2567,MOUNT ANNAN
2567,NARELLAN
2567,NARELLAN VALE
2567,SMEATON GRANGE
2568,MENANGLE
2569,DOUGLAS PARK
2570,BELIMBLA PARK
2570,BICKLEY VALE
2570,BROWNLOW HILL
2570,CAMDEN
2570,CAMDEN PARK
2570,CAMDEN SOUTH
2570,CAWDOR
2570,COBBITTY
2570,ELDERSLIE
2570,ELLIS LANE
2570,GLENMORE
2570,GRASMERE
2570,KIRKHAM
2570,MOUNT HUNTER
2570,NATTAI
2570,OAKDALE
2570,ORAN PARK
2570,ORANGEVILLE
2570,SPRING FARM
2570,THE OAKS
2570,THERESA PARK
2570,WEROMBI
2571,BUXTON
2571,COURIDJAH
2571,MALDON
2571,MOWBRAY PARK
2571,PICTON
2571,RAZORBACK
2571,WILTON
2572,LAKESLAND
2572,THIRLMERE
2573,TAHMOOR
2574,BARGO
2574,PHEASANTS NEST
2574,YANDERRA
2745,GLENMORE PARK
2745,GREENDALE
2745,LUDDENHAM
2745,MULGOA
2745,REGENTVILLE
2745,WALLACIA
2747,CADDENS
2747,CAMBRIDGE GARDENS
2747,CAMBRIDGE PARK
2747,CLAREMONT MEADOWS
2747,JORDAN SPRINGS
2747,KINGSWOOD
2747,LLANDILO
2747,SHANES PARK
2747,WERRINGTON
2747,WERRINGTON COUNTY
2747,WERRINGTON DOWNS
2748,ORCHARD HILLS
2749,CASTLEREAGH
2749,CRANEBROOK
2750,EMU HEIGHTS
2750,EMU PLAINS
2750,JAMISONTOWN
2750,LEONAY
2750,PENRITH
2750,SOUTH PENRITH
2752,SILVERDALE
2752,WARRAGAMBA
2753,AGNES BANKS
2753,BOWEN MOUNTAIN
2753,GROSE VALE
2753,GROSE WOLD
2753,HOBARTVILLE
2753,LONDONDERRY
2753,RICHMOND
2753,RICHMOND LOWLANDS
2753,YARRAMUNDI
2754,NORTH RICHMOND
2754,TENNYSON
2754,THE SLOPES
2756,BLIGH PARK
2756,CATTAI
2756,CENTRAL COLO
2756,CLARENDON
2756,COLO
2756,COLO HEIGHTS
2756,CORNWALLIS
2756,CUMBERLAND REACH
2756,EBENEZER
2756,FREEMANS REACH
2756,GLOSSODIA
2756,LOWER PORTLAND
2756,MAROOTA
2756,MCGRATHS HILL
2756,MELLONG
2756,MULGRAVE
2756,PITT TOWN
2756,PITT TOWN BOTTOMS
2756,SACKVILLE
2756,SACKVILLE NORTH
2756,SCHEYVILLE
2756,SOUTH MAROOTA
2756,SOUTH WINDSOR
2756,UPPER COLO
2756,WILBERFORCE
2756,WINDSOR
2756,WINDSOR DOWNS
2756,WOMERAH
2757,KURMOND
2758,BERAMBING
2758,BILPIN
2758,BLAXLANDS RIDGE
2758,EAST KURRAJONG
2758,KURRAJONG
2758,KURRAJONG HEIGHTS
2758,KURRAJONG HILLS
2758,MOUNTAIN LAGOON
2758,THE DEVILS WILDERNESS
2758,WHEENY CREEK
2759,ERSKINE PARK
2759,ST CLAIR
2760,COLYTON
2760,NORTH ST MARYS
2760,OXLEY PARK
2760,ROPES CROSSING
2760,ST MARYS
2761,COLEBEE
2761,DEAN PARK
2761,GLENDENNING
2761,HASSALL GROVE
2761,OAKHURST
2761,PLUMPTON
2762,SCHOFIELDS
2762,TALLAWONG
2763,ACACIA GARDENS
2763,NIRIMBA FIELDS
2763,QUAKERS HILL
2765,ANGUS
2765,BERKSHIRE PARK
2765,BOX HILL
2765,GABLES
2765,GRANTHAM FARM
2765,MARAYLYA
2765,MARSDEN PARK
2765,MELONBA
2765,NELSON
2765,OAKVILLE
2765,RICHARDS
2765,RIVERSTONE
2765,VINEYARD
2766,EASTERN CREEK
2766,ROOTY HILL
2767,BUNGARRIBEE
2767,DOONSIDE
2767,WOODCROFT
2768,GLENWOOD
2768,PARKLEA
2768,STANHOPE GARDENS
2769,THE PONDS
2770,BIDWILL
2770,BLACKETT
2770,DHARRUK
2770,EMERTON
2770,HEBERSHAM
2770,LETHBRIDGE PARK
2770,MINCHINBURY
2770,MOUNT DRUITT
2770,SHALVEY
2770,TREGEAR
2770,WHALAN
2770,WILLMOT
2775,CENTRAL MACDONALD
2775,FERNANCES
2775,GUNDERMAN
2775,HIGHER MACDONALD
2775,LAUGHTONDALE
2775,LEETS VALE
2775,LOWER MACDONALD
2775,MOGO CREEK
2775,PERRYS CROSSING
2775,SINGLETONS MILL
2775,ST ALBANS
2775,UPPER MACDONALD
2775,WEBBS CREEK
2775,WISEMANS FERRY
2775,WRIGHTS CREEK
2787,YERRANDERIE
